,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
855,5421.447028281736,5524.828259014868,5570.12130340985,"[0.0, 0.0]","[80.0, 48.0]",40.125,31.840000000000003,1251.0,788.0,"[432.5188171509239, 226.34790949550796]","[297.518817150924, 62.347909495507864]",18,1,0.8152,0.9952,1.0848,"[10, 29]",2,"[0.9406, 0.7163]","[0.5318, 0.9443, 0.8279, 0.36]",0.2
856,4959.306745850496,5478.126854574963,4959.380219260199,"[0.0, 0.0]","[35.0, 50.0]",164.72000000000003,20.700000000000003,3522.5,484.0,"[2580.6185512830903, 477.20858552281857]","[362.11855128309, 67.20858552281857]",9,17,1.0703,1.024,1.1159,"[7, 13]",2,"[0.675, 0.2126]","[0.4076, 0.7291, 0.2257, 0.2666]",0.2
857,5804.670541491737,5854.147574937009,5811.180245212939,"[191.0, 126.0]","[259.0, 126.0]",166.49,261.49499999999995,2880.0,2812.0,"[383.73928604061206, 40.667950333182574]","[315.73928604061206, 40.667950333182475]",15,4,1.0787,1.0384,0.9842,"[6, 31]",2,"[0.7189, 0.7772]","[0.8903, 0.5803, 0.9956, 0.984]",0.2
858,7923.524593887778,8805.590582949952,7982.5007908030875,"[0.0, 0.0]","[194.0, 69.0]",281.19,369.09250000000003,5925.5,5517.0,"[494.89870407012984, 142.94374569701006]","[250.39870407012944, 60.9437456970102]",24,17,1.0299,0.9592,0.9458,"[0, 24]",2,"[0.3993, 0.775]","[0.6829, 0.9331, 0.24, 0.3242]",0.2
859,2131.2866656640617,2399.878928475227,2124.560716351516,"[0.0, 0.0]","[116.0, 39.0]",102.05000000000001,144.00000000000003,2762.5,2448.0,"[426.1445811992494, 157.98474211914697]","[275.6445811992494, 75.9847421191469]",21,22,0.9434,0.8473,1.1986,"[1, 17]",2,"[0.9933, 0.4352]","[0.7682, 0.2923, 0.5254, 0.8784]",0.2
860,13803.553704166898,14054.92694233321,14209.332049924233,"[0.0, 0.0]","[0.0, 67.0]",67.23899999999999,102.62,1916.0,1798.0,"[352.577853003429, 118.00084742473646]","[398.577853003429, 36.00084742473643]",24,17,0.8174,1.1616,1.011,"[1, 9]",2,"[0.8708, 0.9597]","[0.8955, 0.5866, 0.4688, 0.3236]",0.2
861,2687.4561568604063,3202.667118750716,2712.899205254498,"[0.0, 0.0]","[0.0, 130.0]",158.89000000000001,87.94,2916.0,1632.0,"[1354.0370382932776, 343.93972989960014]","[726.0370382932781, 15.939729899600081]",10,4,0.9466,1.0238,1.0662,"[21, 22]",2,"[0.7544, 0.204]","[0.5423, 0.358, 0.9286, 0.3397]",0.2
862,7521.733100741322,8154.377101871531,7480.782387199588,"[0.0, 0.0]","[157.0, 80.0]",367.93,397.6474999999999,7247.5,6274.0,"[762.8308318389354, 294.0960740393184]","[281.330831838935, 48.09607403931841]",23,18,1.0319,0.8687,0.9046,"[6, 18]",2,"[0.2465, 0.4978]","[0.7765, 0.6438, 0.5383, 0.6526]",0.2
863,4312.819626138411,4670.238606015035,4312.820694764887,"[0.0, 0.0]","[0.0, 67.0]",67.20500000000001,4.9,1761.0,82.0,"[1407.6350914425825, 362.9718347775055]","[384.6350914425831, 34.97183477750537]",10,15,0.822,1.0694,1.1565,"[0, 31]",2,"[0.642, 0.3724]","[0.3603, 0.9924, 0.8414, 0.7986]",0.2
864,8976.671167422239,9656.2181204,8982.236103042405,"[0.0, 0.0]","[0.0, 88.0]",249.13500000000002,262.68,5680.0,4014.0,"[1481.9180934948597, 451.4957573463112]","[635.9180934948597, 41.49575734631145]",21,12,1.0871,1.0719,1.1324,"[1, 15]",2,"[0.7942, 0.5314]","[0.5789, 0.529, 0.944, 0.4748]",0.2
865,2063.169916110954,2775.244463821629,2063.169916096845,"[0.0, 0.0]","[0.0, 0.0]",158.64000000000001,0.0,3380.0,0.0,"[3071.807735085365, 1108.7369930457783]","[347.8077350853651, 780.7369930457783]",8,21,1.0522,1.0319,0.948,"[8, 29]",2,"[0.3021, 0.8034]","[0.5772, 0.3199, 0.4112, 0.9583]",0.2
866,7946.228325283071,8782.769195124734,7971.983948650293,"[0.0, 0.0]","[50.0, 33.0]",200.41000000000003,174.175,4885.5,3268.0,"[1301.3505982673769, 409.5490538877701]","[339.85059826737785, 81.54905388777001]",20,17,0.9219,1.0173,0.8082,"[8, 9]",2,"[0.7096, 0.3874]","[0.6631, 0.7177, 0.7495, 0.8211]",0.2
867,1695.974988170879,1795.0135282692763,1768.7236406689226,"[309.0, 130.0]","[201.0, 130.0]",162.2975,185.45749999999995,2078.5,2186.0,"[253.34659204170697, 33.47231709899651]","[360.84659204170697, 33.47231709899651]",9,11,1.0271,1.1926,1.1593,"[18, 25]",2,"[0.4428, 0.2869]","[0.5782, 0.7417, 0.8996, 0.7994]",0.2
868,4526.162497520974,4894.534437324645,4718.778080045861,"[0.0, 0.0]","[0.0, 71.0]",205.785,288.95,4718.0,4170.0,"[881.9677832597126, 274.9995486426319]","[825.9677832597126, 28.999548642632092]",22,11,0.8216,0.8049,1.0645,"[11, 28]",2,"[0.5419, 0.3078]","[0.9309, 0.5762, 0.6553, 0.9425]",0.2
