,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
114,515.3598198449686,515.4150936448528,515.3598194895653,"[0.0, 0.0]","[51.0, 0.0]",46.25,0.0,570.0,0.0,"[1011.0306754046856, 297.32602514568634]","[441.0306754046855, 297.32602514568634]",8,8,0.8961,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
115,515.414957836394,635.6105392783584,515.4489827207965,"[0.0, 0.0]","[0.0, 83.0]",160.75,74.0,1700.0,912.0,"[990.7730754046853, 352.7856751456867]","[694.7730754046855, 106.78567514568665]",8,8,1.1964,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
116,515.381716995329,588.7134770700802,515.3815848279175,"[0.0, 0.0]","[301.0, 0.0]",107.9625,18.5,1243.0,228.0,"[972.8690754046848, 350.41542514568664]","[285.8690754046852, 186.41542514568664]",8,8,1.0709,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
117,515.4040490091446,,515.4038329618407,,,,,,,,,8,8,1.15,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
118,515.3927403939736,585.6063913253831,515.392621768773,"[0.0, 0.0]","[249.0, 2.0]",115.725,27.75,1326.0,342.0,"[1006.5490754046855, 336.13917514568686]","[350.54907540468537, 172.1391751456867]",8,8,1.0934,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
119,515.3598198449686,515.4040483094908,515.3598194895653,"[0.0, 0.0]","[10.0, 0.0]",37.0,0.0,456.0,0.0,"[929.6914754046852, 306.7800751456866]","[473.6914754046852, 306.7800751456866]",8,8,0.8812,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
120,515.381716995329,588.7134770700802,515.3815848279175,"[0.0, 0.0]","[301.0, 0.0]",107.9625,18.5,1243.0,228.0,"[972.8690754046848, 350.41542514568664]","[285.8690754046852, 186.41542514568664]",8,8,1.0709,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
121,515.3598198449686,515.4148026277093,515.3598194895653,"[0.0, 0.0]","[58.0, 0.0]",46.25,0.0,570.0,0.0,"[1004.8930754046852, 295.54942514568666]","[434.8930754046854, 295.54942514568666]",8,8,0.8989,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
122,515.3598198449686,515.437438571479,515.3598194895653,"[0.0, 0.0]","[138.0, 0.0]",64.75,0.0,798.0,0.0,"[1169.1058754046849, 277.0854751456866]","[371.10587540468487, 277.0854751456866]",8,8,0.928,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
123,515.3927403939736,564.9963731684406,515.392621768773,"[0.0, 0.0]","[259.0, 5.0]",115.725,27.75,1326.0,342.0,"[998.877075404685, 333.9184251456867]","[342.8770754046851, 169.91842514568663]",8,8,1.0969,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
124,515.3598198449686,515.3928760913969,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[928.3602754046856, 339.3933751456866]","[586.3602754046856, 339.3933751456866]",8,8,0.8298,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
125,515.3598198449686,515.3927407528572,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[975.9266754046855, 353.1620251456867]","[633.9266754046853, 353.1620251456867]",8,8,0.8081,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
126,515.3706236966588,515.4376739704893,515.3706154755935,"[0.0, 0.0]","[196.0, 0.0]",64.75,9.25,798.0,114.0,"[1031.6674754046853, 237.3023251456865]","[347.6674754046853, 237.3023251456865]",8,8,0.9907,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
127,515.3598198449686,515.4040483094908,515.3598194895653,"[0.0, 0.0]","[13.0, 0.0]",37.0,0.0,456.0,0.0,"[927.0610754046852, 306.01867514568653]","[471.06107540468514, 306.01867514568653]",8,8,0.8824,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
128,515.3598198449686,515.3704105291683,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",9.25,0.0,114.0,0.0,"[654.5474754046854, 326.13232514568654]","[540.5474754046854, 326.13232514568654]",8,8,0.8507,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
129,515.3598198449686,515.3927407528572,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[982.7218754046851, 355.1289751456867]","[640.7218754046851, 355.1289751456867]",8,8,0.805,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
130,515.3926257871125,579.8945662720122,515.3933510199321,"[0.0, 0.0]","[359.0, 34.0]",120.625,27.75,1408.0,342.0,"[836.8690754046851, 392.75917514568664]","[262.8690754046852, 146.75917514568664]",8,8,1.1334,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
131,515.3816189283614,540.7883665060497,515.3815848279175,"[0.0, 0.0]","[272.0, 0.0]",94.8625,18.5,1119.0,228.0,"[1036.1042754046853, 275.1411251456866]","[309.10427540468527, 193.14112514568666]",8,8,1.0603,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
132,515.3598198449686,515.4148026277093,515.3598194895653,"[0.0, 0.0]","[36.0, 0.0]",46.25,0.0,570.0,0.0,"[1022.8674754046854, 300.75232514568665]","[452.8674754046853, 300.75232514568665]",8,8,0.8907,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
133,515.3598198449686,515.3927764909023,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[914.5506754046854, 335.3960251456866]","[572.5506754046856, 335.3960251456866]",8,8,0.8361,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
134,515.3706236966588,529.0483534397353,515.3706154755935,"[0.0, 0.0]","[220.0, 0.0]",78.9,9.25,994.0,114.0,"[1044.1586754046848, 313.65527514568663]","[328.15867540468525, 231.65527514568652]",8,8,0.9996,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
135,515.4039218338817,674.3690020404897,515.4039928430874,"[0.0, 0.0]","[406.0, 80.0]",169.5625,37.0,1718.5,456.0,"[1182.2602754046854, 273.38712514568675]","[247.76027540468561, 109.38712514568665]",8,8,1.1923,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
