Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/04 15:00:00,0.9767271015,0.5623790246,0,0,0,0,0,0,0.1534509832,0.03322571088,0.4083379239,0.3614864836
11/04 16:00:00,1.084995556,0.5770485718,0,0,0,0,0,0,0.2180618217,0.04721548388,0.4179117346,0.3815805157
11/04 17:00:00,1.42946703,0.6554787525,0,0,0,0,0,0,0.3957419075,0.08568735963,0.4764688903,0.451342873
11/04 18:00:00,2.0068905,0.7979052874,0,0,0,0,0,0,0.7026437746,0.1521387588,0.5835725079,0.5483094582
11/04 19:00:00,2.343873962,0.9363537874,0,0,0,0,0,0,0.9610874365,0.2080978508,0.5291640951,0.5952985792
11/04 20:00:00,2.236511231,0.9752753302,0,0,0,0,0,0,0.9610874365,0.2080978508,0.4326347491,0.6144651944
11/04 21:00:00,2.123578731,0.9172389053,0,0,0,0,0,0,0.8884001262,0.1923593562,0.3870035587,0.6355896896
11/04 22:00:00,1.921874673,0.8338599254,0,0,0,0,0,0,0.7511019798,0.1626310886,0.3671645844,0.6207510198
11/04 23:00:00,1.531875686,0.7013025236,0,0,0,0,0,0,0.5572692607,0.1206617921,0.2965381771,0.5371804559
12/04 1080672:00:00,1.157232487,0.555142753,0,0,0,0,0,0,0.38766554,0.083938638,0.1986024884,0.4667998207
11/05 01:00:00,0.7816098837,0.3961811767,0,0,0,0,0,0,0.2019090867,0.04371804063,0.1296422027,0.3861145536
11/05 02:00:00,0.6327427008,0.3309098747,0,0,0,0,0,0,0.121145513,0.02623082438,0.1096305662,0.3555097972
11/05 03:00:00,0.5701914812,0.5752327786,0,0.2609928034,0,0.007254578936,0.007254578936,0.007254578936,0.08076365526,0.01748721399,0.09307208855,0.3513879445
11/05 04:00:00,0.5909619151,1.88510613,0,1.561513155,0,0.04331954155,0.04331954155,0.04331954155,0.08076365526,0.01748721399,0.08272378309,0.3464417212
11/05 05:00:00,0.6134837811,2.740547913,0,2.360643573,0,0.06548037254,0.06548037254,0.06548037254,0.08076365526,0.01748721399,0.09617170048,0.3333548388
11/05 06:00:00,0.7039346138,3.897640595,0,3.277025857,0,0.09089931082,0.09089931082,0.09089931082,0.08884002279,0.01923593562,0.1127361365,0.3719972081
11/05 07:00:00,0.9168880871,4.553551735,0,3.482261414,0,0.09659220783,0.09659220783,0.09659220783,0.1534509832,0.03322571088,0.1835869927,0.4298061925
11/05 08:00:00,1.175348443,1.55276419,0,0.3659613656,0,0.01019113216,0.01019113216,0.01019113216,0.2988254971,0.06470270013,0.2872018324,0.4567012815
11/05 09:00:00,1.132289096,1.12948127,0,0,0,0,0,0,0.2907491295,0.0629539785,0.3722454341,0.3861145536
11/05 10:00:00,1.004112977,0.9972776725,0,0,0,0,0,0,0.1615273507,0.0349744325,0.4587704852,0.3286147082
11/05 11:00:00,1.005894014,0.8561862243,0,0,0,0,0,0,0.1372982481,0.02972826763,0.4822983164,0.336343182
11/05 12:00:00,1.026648248,0.7379489627,0,0,0,0,0,0,0.1372982481,0.02972826763,0.5029495039,0.3364462284
11/05 13:00:00,1.005632471,0.6523311469,0,0,0,0,0,0,0.1372982481,0.02972826763,0.4876012742,0.3307786809
11/05 14:00:00,0.972680514,0.6060448132,0,0,0,0,0,0,0.1372982481,0.02972826763,0.4432111761,0.3422168222
11/05 15:00:00,0.9767271015,0.5647462237,0,0,0,0,0,0,0.1534509832,0.03322571088,0.4083379239,0.3614864836
11/05 16:00:00,1.084995556,0.578487338,0,0,0,0,0,0,0.2180618217,0.04721548388,0.4179117346,0.3815805157
11/05 17:00:00,1.42946703,0.6551040695,0,0,0,0,0,0,0.3957419075,0.08568735963,0.4764688903,0.451342873
11/05 18:00:00,2.0068905,0.8012896143,0,0,0,0,0,0,0.7026437746,0.1521387588,0.5835725079,0.5483094582
11/05 19:00:00,2.343873962,0.9386878433,0,0,0,0,0,0,0.9610874365,0.2080978508,0.5291640951,0.5952985792
