Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/21  04:00:00,0.5796525736,2.084350851,0,1.719835885,0.04604941834,0.04604941834,0.04604941834,0.08338538755,0.01822920246,0.1031147988,0.3081737665
08/21  05:00:00,0.6385266413,2.480942014,0,1.844410107,0.04938495198,0.04938495198,0.04938495198,0.08829041036,0.01930150863,0.1169526151,0.3438971552
08/21  06:00:00,0.8148170779,2.899414323,0,1.75666464,0.04703552565,0.04703552565,0.04703552565,0.1422456507,0.03109687646,0.1763996804,0.3973393447
08/21  07:00:00,1.09332117,2.963342001,0,1.681055196,0.04501104705,0.04501104705,0.04501104705,0.2501561743,0.05468761688,0.2630635087,0.4222028232
08/21  08:00:00,0.9939404058,2.844368332,0,1.60690933,0.04302575647,0.04302575647,0.04302575647,0.1962009125,0.04289224667,0.3341733904,0.3569480999
08/21  09:00:00,0.8754452856,2.08029688,0,0.9655051628,0.02585185687,0.02585185687,0.02585185687,0.09810045598,0.02144612096,0.4055551543,0.3037916975
08/21  10:00:00,0.862950614,1.420016989,0,0.4567985448,0.01223099684,0.01223099684,0.01223099684,0.07848036474,0.01715689629,0.4234459809,0.3109363752
08/21  11:00:00,0.8675014492,0.8276859874,0,0,0,0,0,0.07848036474,0.01715689629,0.4401325506,0.3110316376
08/21  12:00:00,0.8509057166,0.7246189128,0,0,0,0,0,0.07848036474,0.01715689629,0.4287762483,0.3057922073
08/21  13:00:00,0.8252124658,0.6635186245,0,0,0,0,0,0.07848036474,0.01715689629,0.3925088745,0.3163663303
