Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/09 23:00:00,1.634264379,5.58559044,0,4.88123517,0,0.1353974403,0.1353974403,0.1353974403,0.5572692607,0.1206617921,0.2635294299,0.5371804559
12/09 1084344:00:00,1.289764632,6.002950502,0,5.431328711,0,0.150656131,0.150656131,0.150656131,0.38766554,0.083938638,0.1804785022,0.4667998207
11/10 01:00:00,0.9414861697,6.469216517,0,6.040213094,0,0.1675455829,0.1675455829,0.1675455829,0.2019090867,0.04371804063,0.1219729058,0.3861145536
11/10 02:00:00,0.8131396621,7.033914406,0,6.669530836,0,0.1850018227,0.1850018227,0.1850018227,0.121145513,0.02623082438,0.1050257048,0.3555097972
11/10 03:00:00,0.7443477558,6.99903316,0,6.649900102,0,0.1844572984,0.1844572984,0.1844572984,0.08076365526,0.01748721399,0.09002564373,0.3513879445
11/10 04:00:00,0.7275403621,6.897043699,0,6.542960156,0,0.1814909601,0.1814909601,0.1814909601,0.08076365526,0.01748721399,0.08113081157,0.3464417212
11/10 05:00:00,0.7268947565,6.965318146,0,6.561589093,0,0.1820076962,0.1820076962,0.1820076962,0.08076365526,0.01748721399,0.09305535229,0.3333548388
11/10 06:00:00,0.7882581091,7.118529954,0,6.489291537,0,0.1800022808,0.1800022808,0.1800022808,0.08884002279,0.01923593562,0.1079566619,0.3719972081
11/10 07:00:00,1.009382738,8.313300594,0,7.263706898,0,0.20148329,0.20148329,0.20148329,0.1534509832,0.03322571088,0.1711905619,0.4298061925
11/10 08:00:00,1.295096602,6.73786534,0,5.574502856,0,0.1546275464,0.1546275464,0.1546275464,0.2988254971,0.06470270013,0.262513577,0.4567012815
11/10 09:00:00,1.259134447,7.060763136,0,5.937225213,0,0.1646888684,0.1646888684,0.1646888684,0.2907491295,0.0629539785,0.3344019166,0.3861145536
11/10 10:00:00,1.094787758,6.183012731,0,5.162923665,0,0.1432110162,0.1432110162,0.1432110162,0.1615273507,0.0349744325,0.4062342505,0.3286147082
11/10 11:00:00,1.054521488,4.790050208,0,3.89459779,0,0.1080297412,0.1080297412,0.1080297412,0.1372982481,0.02972826763,0.4228960491,0.336343182
11/10 12:00:00,1.025931329,2.964000841,0,2.181815176,0,0.06051996674,0.06051996674,0.06051996674,0.1372982481,0.02972826763,0.441712618,0.3364462284
11/10 13:00:00,0.9968748421,2.394565469,0,1.695172361,0,0.04702129493,0.04702129493,0.04702129493,0.1372982481,0.02972826763,0.4318223506,0.3307786809
11/10 14:00:00,0.9550161341,1.85385843,0,1.196477694,0,0.03318832458,0.03318832458,0.03318832458,0.1372982481,0.02972826763,0.3923584717,0.3422168222
11/10 15:00:00,0.9486551258,1.25233435,0,0.6335820613,0,0.01757452496,0.01757452496,0.01757452496,0.1534509832,0.03322571088,0.3626914231,0.3614864836
