Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
05/13  06:00:00,0.803898243,0.9691109404,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1916568519,0.4470160914
05/13  07:00:00,1.067614646,1.078508305,0,0,0,0,0,0,0.1986524868,0.04301291094,0.2932351597,0.4749880885
05/13  08:00:00,0.9824060844,1.034982248,0,0,0,0,0,0,0.1500929884,0.03249864883,0.3780134545,0.4015749927
05/13  09:00:00,0.9394355903,0.9238337815,0,0,0.01304211087,0.00333226267,0.01637437354,0.00333226267,0.07946101533,0.01720516212,0.4643962474,0.341772792
05/13  10:00:00,1.267700533,0.7946807275,0,0,0.2650654363,0.06371158312,0.3287770194,0.06371158312,0.06621751265,0.01433763547,0.4883316437,0.3498107222
05/13  11:00:00,1.505138768,0.6785369973,0,0,0.4431742488,0.1033454393,0.5465196882,0.1033454393,0.06621751265,0.01433763547,0.5079200375,0.3499178946
05/13  12:00:00,1.745446179,0.5896479658,0,0,0.6584882856,0.1500262361,0.8085145217,0.1500262361,0.06621751265,0.01433763547,0.4921270964,0.3440234124
05/13  13:00:00,2.251795191,0.5389474732,0,0,1.106144439,0.2396181144,1.345762553,0.2396181144,0.06621751265,0.01433763547,0.4493319405,0.3559195491
05/13  14:00:00,2.69591803,0.4962114921,0,0,1.489014643,0.3155588855,1.804573529,0.3155588855,0.06621751265,0.01433763547,0.4146025649,0.3759607884
05/13  15:00:00,3.307379501,0.5046317244,0,0,1.978236122,0.4090652672,2.387301389,0.4090652672,0.06621751265,0.01433763547,0.4224375568,0.3968594069
05/13  16:00:00,3.661862482,0.5699768857,0,0,2.156224342,0.4536805508,2.609904893,0.4536805508,0.07063201371,0.01529347995,0.476390972,0.4694151235
05/13  17:00:00,3.953205969,0.6970460985,0,0,2.202920025,0.4762816369,2.679201662,0.4762816369,0.0882900172,0.01911684655,0.5761070895,0.5702643544
05/13  18:00:00,3.725804039,0.8227678114,0,0,1.908281886,0.4330619873,2.341343873,0.4330619873,0.1545074787,0.03345448879,0.5271372286,0.61913497
05/13  19:00:00,3.255320566,0.8598631235,0,0,1.431067844,0.3503637033,1.781431548,0.3503637033,0.3090150592,0.06690895502,0.4386699675,0.6390690369
05/13  20:00:00,3.102838773,0.812565353,0,0,1.083113643,0.2815915308,1.364705174,0.2815915308,0.5429835759,0.1175686082,0.3963160355,0.6610393794
05/13  21:00:00,2.939830357,0.7423361694,0,0,0.8124587756,0.2191102405,1.031569016,0.2191102405,0.7107346275,0.1538906169,0.3778035434,0.6456065534
05/13  22:00:00,2.212987911,0.6245719659,0,0,0.5079127299,0.1415542327,0.6494669626,0.1415542327,0.556227047,0.1204361281,0.3079420385,0.5586897349
05/13  23:00:00,1.588021672,0.4913719297,0,0,0.3127971302,0.08705340782,0.399850538,0.08705340782,0.3884760946,0.08411414196,0.2098639133,0.4854909839
05/13  24:00:00,0.9399290166,0.3456157556,0,0,0.1057403331,0.02973129136,0.1354716244,0.02973129136,0.1986524868,0.04301291094,0.1409910017,0.4015749927
05/14  01:00:00,0.655680994,0.2863560499,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1207109052,0.3697447891
05/14  02:00:00,0.5867693081,0.2739983935,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1044192377,0.365457893
05/14  03:00:00,0.5709239833,0.2809492639,0,0,0,0,0,0,0.07946101533,0.01720516212,0.09371818824,0.3603136176
05/14  04:00:00,0.5700509243,0.3344404768,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1064560244,0.3467027225
05/14  05:00:00,0.6316447094,0.5573327698,0,0,0,0,0,0,0.08387551639,0.01816100433,0.1224898152,0.3868923735
05/14  06:00:00,0.803898243,0.9674290872,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1916568519,0.4470160914
05/14  07:00:00,1.067614646,1.076522114,0,0,0,0,0,0,0.1986524868,0.04301291094,0.2932351597,0.4749880885
05/14  08:00:00,0.9824060844,1.032897693,0,0,0,0,0,0,0.1500929884,0.03249864883,0.3780134545,0.4015749927
05/14  09:00:00,0.9230612168,0.9235847558,0,0,0,0,0,0,0.07946101533,0.01720516212,0.4643962474,0.341772792
05/14  10:00:00,0.938923514,0.7971859771,0,0,0,0,0,0,0.06621751265,0.01433763547,0.4883316437,0.3498107222
05/14  11:00:00,1.053461731,0.677805941,0,0,0.0755824517,0.01926019913,0.09484265083,0.01926019913,0.06621751265,0.01433763547,0.5079200375,0.3499178946
05/14  12:00:00,1.308232892,0.5908709488,0,0,0.2985423269,0.07275890803,0.3713012349,0.07275890803,0.06621751265,0.01433763547,0.4921270964,0.3440234124
05/14  13:00:00,1.678133876,0.5442848861,0,0,0.6257041942,0.1463970446,0.7721012388,0.1463970446,0.06621751265,0.01433763547,0.4493319405,0.3559195491
05/14  14:00:00,1.992809354,0.5038672888,0,0,0.8934063835,0.208058469,1.101464853,0.208058469,0.06621751265,0.01433763547,0.4146025649,0.3759607884
05/14  15:00:00,2.419526615,0.5117537049,0,0,1.221491712,0.277956791,1.499448503,0.277956791,0.06621751265,0.01433763547,0.4224375568,0.3968594069
05/14  16:00:00,2.917191736,0.5737046127,0,0,1.522080291,0.3431538566,1.865234147,0.3431538566,0.07063201371,0.01529347995,0.476390972,0.4694151235
05/14  17:00:00,3.310151364,0.6976643981,0,0,1.658613847,0.3775332093,2.036147056,0.3775332093,0.0882900172,0.01911684655,0.5761070895,0.5702643544
05/14  18:00:00,3.339982934,0.8201708719,0,0,1.585943813,0.3695789545,1.955522767,0.3695789545,0.1545074787,0.03345448879,0.5271372286,0.61913497
05/14  19:00:00,2.951711299,0.8591148099,0,0,1.1777779,0.3000443805,1.47782228,0.3000443805,0.3090150592,0.06690895502,0.4386699675,0.6390690369
05/14  20:00:00,2.956091758,0.8116284557,0,0,0.9635508771,0.2544072817,1.217958159,0.2544072817,0.5429835759,0.1175686082,0.3963160355,0.6610393794
05/14  21:00:00,2.83621402,0.7409562833,0,0,0.7289431381,0.1990095412,0.9279526793,0.1990095412,0.7107346275,0.1538906169,0.3778035434,0.6456065534
05/14  22:00:00,2.196493822,0.6232603602,0,0,0.4955591044,0.1374137693,0.6329728737,0.1374137693,0.556227047,0.1204361281,0.3079420385,0.5586897349
05/14  23:00:00,1.418280769,0.4930237606,0,0,0.1798412865,0.05026834859,0.2301096351,0.05026834859,0.3884760946,0.08411414196,0.2098639133,0.4854909839
05/14  24:00:00,0.8044573922,0.3512330938,0,0,0,0,0,0,0.1986524868,0.04301291094,0.1409910017,0.4015749927
05/15  01:00:00,0.6510761326,0.2863967442,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1161060438,0.3697447891
05/15  02:00:00,0.5837228633,0.2744175445,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1013727928,0.365457893
05/15  03:00:00,0.5693310118,0.2819596166,0,0,0,0,0,0,0.07946101533,0.01720516212,0.09212521671,0.3603136176
05/15  04:00:00,0.5669345761,0.3301886895,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1033396762,0.3467027225
05/15  05:00:00,0.6268652347,0.5333927842,0,0,0,0,0,0,0.08387551639,0.01816100433,0.1177103405,0.3868923735
05/15  06:00:00,0.7915018121,0.9055719593,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1792604211,0.4470160914
05/15  07:00:00,1.04292639,1.000045529,0,0,0,0,0,0,0.1986524868,0.04301291094,0.2685469042,0.4749880885
05/15  08:00:00,0.9445625669,0.9512723583,0,0,0,0,0,0,0.1500929884,0.03249864883,0.3401699371,0.4015749927
