Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/29  19:00:00,2.471893085,1.469862956,0,0.2779846675,0,0.008336907178,0.008336907178,0.008336907178,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/29  20:00:00,2.482242112,2.965422276,0,1.730186889,0,0.05185538799,0.05185538799,0.05185538799,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/29  21:00:00,2.3100429,3.635488629,0,2.474532891,0,0.07408380699,0.07408380699,0.07408380699,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/29  22:00:00,2.152844323,5.32996196,0,4.273369755,0,0.1279888708,0.1279888708,0.1279888708,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/29  23:00:00,1.785802256,6.067984914,0,5.180176917,0,0.1551814745,0.1551814745,0.1551814745,0.5624508497,0.1217837268,0.2891546333,0.6370055714
01/29  24:00:00,1.434943394,7.364918428,0,6.664069303,0,0.1997801726,0.1997801726,0.1997801726,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/30  01:00:00,1.052794379,7.634795904,0,7.150354526,0,0.2144347218,0.2144347218,0.2144347218,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/30  02:00:00,0.9279880711,8.567151182,0,8.159631883,0,0.2448421449,0.2448421449,0.2448421449,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/30  03:00:00,0.8888289128,9.261589132,0,8.874049071,0,0.2663412753,0.2663412753,0.2663412753,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/30  04:00:00,0.891716015,9.847815103,0,9.4526616,0,0.2837912753,0.2837912753,0.2837912753,0.08394788064,0.01817667514,0.07475263567,0.4108215483
