Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
10/23  05:00:00,0.670446622,2.750239439,0,2.190326167,0,0.06075604765,0.06075604765,0.06075604765,0.08843474571,0.01914818815,0.1083567232,0.3735249174
10/23  06:00:00,0.9056925794,3.065724864,0,2.121202928,0,0.0588386826,0.0588386826,0.0588386826,0.1836722294,0.03976931438,0.1716150427,0.4315713103
10/23  07:00:00,1.271394809,2.379464744,0,1.332539304,0,0.03696245001,0.03696245001,0.03696245001,0.3741470555,0.08101154877,0.2629709035,0.4585768514
10/23  08:00:00,1.163351862,1.545707442,0,0.5425705533,0,0.01505001533,0.01505001533,0.01505001533,0.3333309697,0.0721739384,0.3348706987,0.3877002397
10/23  09:00:00,1.070547166,0.8961633115,0,0,0.09132439836,0.02370730333,0.1150317017,0.02370730333,0.163264137,0.03535050919,0.4067105628,0.3299642552
10/23  10:00:00,1.432946889,0.7718357181,0,0,0.3949325572,0.09947391942,0.4944064766,0.09947391942,0.1292507496,0.02798581883,0.4233533757,0.3377244682
10/23  11:00:00,1.873905017,0.6631273246,0,0,0.7344791235,0.1819609179,0.9164400414,0.1819609179,0.1292507496,0.02798581883,0.4421744695,0.3378279377
10/23  12:00:00,2.229702085,0.5840142484,0,0,1.031971061,0.2558211917,1.287792253,0.2558211917,0.1292507496,0.02798581883,0.432310149,0.3321371149
10/23  13:00:00,2.486223717,0.5429381486,0,0,1.259801144,0.3124982952,1.572299439,0.3124982952,0.1292507496,0.02798581883,0.3928394794,0.3436222301
10/23  14:00:00,2.749659658,0.5054163544,0,0,1.479075672,0.3669853746,1.846061046,0.3669853746,0.1292507496,0.02798581883,0.3631650153,0.3629710277
10/23  15:00:00,2.772829783,0.5166086672,0,0,1.465143597,0.3636363536,1.82877995,0.3636363536,0.1360534479,0.02945873885,0.3751640648,0.3831475814
10/23  16:00:00,2.8887473,0.578231108,0,0,1.415702292,0.3576325577,1.77333485,0.3576325577,0.1700668353,0.03682342921,0.4350997485,0.4531964371
10/23  17:00:00,2.981111894,0.7027036352,0,0,1.215781213,0.3122965126,1.528077726,0.3122965126,0.2789095916,0.06039044285,0.542946891,0.5505612424
10/23  18:00:00,3.13246071,0.8148584824,0,0,1.089847914,0.2842248546,1.374072769,0.2842248546,0.5102005033,0.1104703102,0.4897477907,0.5977433373
10/23  19:00:00,3.173550465,0.8416277612,0,0,0.9226430301,0.2439273051,1.166570335,0.2439273051,0.8027154916,0.1738066156,0.3932433575,0.6169886654
10/23  20:00:00,3.012646348,0.7918611083,0,0,0.7348683293,0.1966540866,0.9315224158,0.1966540866,0.8843475588,0.1914818815,0.3468685779,0.6381999142
10/23  21:00:00,2.546670375,0.7263146735,0,0,0.5316738781,0.1432918259,0.6749657039,0.1432918259,0.7414914151,0.1605501775,0.3261367735,0.6233003053
10/23  22:00:00,1.964814885,0.6138021229,0,0,0.3643998667,0.09818679343,0.4625866601,0.09818679343,0.5578191832,0.1207808631,0.2640156425,0.5393865358
10/23  23:00:00,1.41196186,0.4904484786,0,0,0.213001816,0.05737657597,0.270378392,0.05737657597,0.3877523504,0.08395743394,0.1809308202,0.468716863
10/23  24:00:00,0.8026127114,0.3594870311,0,0,0.02543525318,0.006850915924,0.03228616911,0.006850915924,0.1972775244,0.04271517698,0.1224076013,0.3877002397
10/24  01:00:00,0.6399170418,0.5998942733,0,0.2995534542,0,0.008309120443,0.008309120443,0.008309120443,0.122448153,0.02651287625,0.1054510958,0.3569697964
10/24  02:00:00,0.5783945726,0.8484152701,0,0.5620612434,0,0.01559065503,0.01559065503,0.01559065503,0.08163207865,0.01767525008,0.09043957272,0.3528310161
10/24  03:00:00,0.5701002226,1.055741052,0,0.7631994815,0,0.02116989915,0.02116989915,0.02116989915,0.08163207865,0.01767525008,0.08153251489,0.3478644798
10/24  04:00:00,0.5738461816,1.28029814,0,0.9422276384,0,0.02613584595,0.02613584595,0.02613584595,0.08163207865,0.01767525008,0.09345315435,0.3347238525
10/24  05:00:00,0.6369842461,1.529693633,0,0.9839686043,0,0.02729367173,0.02729367173,0.02729367173,0.08843474571,0.01914818815,0.1083567232,0.3735249174
10/24  06:00:00,0.8815513624,2.182772499,0,1.25088398,0,0.03469746554,0.03469746554,0.03469746554,0.1836722294,0.03976931438,0.1716150427,0.4315713103
10/24  07:00:00,1.251614946,1.655139419,0,0.6194522499,0,0.01718258722,0.01718258722,0.01718258722,0.3741470555,0.08101154877,0.2629709035,0.4585768514
10/24  08:00:00,1.156971932,1.309633932,0,0.3125666681,0,0.008670085607,0.008670085607,0.008670085607,0.3333309697,0.0721739384,0.3348706987,0.3877002397
10/24  09:00:00,0.9765698074,0.8966095346,0,0,0.01662352091,0.004430822288,0.02105434319,0.004430822288,0.163264137,0.03535050919,0.4067105628,0.3299642552
10/24  10:00:00,1.171674963,0.7778087463,0,0,0.1845507703,0.04858378081,0.2331345511,0.04858378081,0.1292507496,0.02798581883,0.4233533757,0.3377244682
10/24  11:00:00,1.60743428,0.6710839631,0,0,0.517527091,0.1324422133,0.6499693044,0.1324422133,0.1292507496,0.02798581883,0.4421744695,0.3378279377
10/24  12:00:00,1.98726963,0.5900975832,0,0,0.8323300706,0.2130297274,1.045359798,0.2130297274,0.1292507496,0.02798581883,0.432310149,0.3321371149
10/24  13:00:00,2.267879625,0.5475820652,0,0,1.077962621,0.2759927259,1.353955347,0.2759927259,0.1292507496,0.02798581883,0.3928394794,0.3436222301
10/24  14:00:00,2.528802148,0.5103499928,0,0,1.29385134,0.3313521962,1.625203536,0.3313521962,0.1292507496,0.02798581883,0.3631650153,0.3629710277
