time,t1,t2
0,50,13.5
1,50,13.5
2,80,20.25
3,80,20.25
4,170,40.5
5,230,54
6,350,81
7,410,94.5
8,440,101.25
9,410,94.5
10,380,87.75
11,350,81
12,290,67.5
13,290,67.5
14,290,67.5
15,290,67.5
16,320,74.25
17,365,84.375
18,410,94.5
19,470,108
20,350,81
21,200,47.25
22,140,33.75
23,50,13.5
